rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
1                                        ","
                                            12:35.36
                                        ","
        ","
                                            12 SEP 1996
                                        ","
                                            ","
                                            1
                                        ","
                                            Stade Louis II, Monaco (MON)
                                        ","
                                            14 AUG 2020
                                        ","
                                                1302
                                            "
"
2                                        ","
                                            12:36.73
                                        ","
        ","
                                            11 MAY 1994
                                        ","
                                            ","
                                            1
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            30 MAY 2024
                                        ","
                                                1296
                                            "
"
3                                        ","
                                            12:37.35
                                        ","
        ","
                                            13 JUN 1982
                                        ","
                                            ","
                                            1
                                        ","
                                            FBK Stadium, Hengelo (NED)
                                        ","
                                            31 MAY 2004
                                        ","
                                                1294
                                            "
"
4                                        ","
                                            12:38.95
                                        ","
        ","
                                            01 AUG 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            30 MAY 2024
                                        ","
                                                1288
                                            "
"
5                                        ","
                                            12:39.36
                                        ","
        ","
                                            18 APR 1973
                                        ","
                                            ","
                                            1
                                        ","
                                            Helsinki (FIN)
                                        ","
                                            13 JUN 1998
                                        ","
                                                1286
                                            "
"
6                                        ","
                                            12:39.74
                                        ","
        ","
                                            17 MAY 1976
                                        ","
                                            ","
                                            1
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            22 AUG 1997
                                        ","
                                                1285
                                            "
"
7                                        ","
                                            12:40.45
                                        ","
        ","
                                            28 FEB 2001
                                        ","
                                            ","
                                            1
                                        ","
                                            Stade Olympique de la Pontaise, Lausanne (SUI)
                                        ","
                                            30 JUN 2023
                                        ","
                                                1282
                                            "
"
8                                        ","
                                            12:40.96
                                        ","
        ","
                                            14 NOV 2000
                                        ","
                                            ","
                                            3
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            30 MAY 2024
                                        ","
                                                1280
                                            "
"
9                                        ","
                                            12:42.70
                                        ","
        ","
                                            13 MAY 1999
                                        ","
                                            ","
                                            3
                                        ","
                                            Stade Louis II, Monaco (MON)
                                        ","
                                            21 JUL 2023
                                        ","
                                                1274
                                            "
"
10                                        ","
                                            12:43.02
                                        ","
        ","
                                            20 JAN 2000
                                        ","
                                            ","
                                            1
                                        ","
                                            Boudewijnstadion, Bruxelles (BEL)
                                        ","
                                            31 AUG 2018
                                        ","
                                                1273
                                            "
"
11                                        ","
                                            12:45.01
                                        ","
        ","
                                            17 FEB 1998
                                        ","
                                            ","
                                            4
                                        ","
                                            Stade Louis II, Monaco (MON)
                                        ","
                                            21 JUL 2023
                                        ","
                                                1265
                                            "
"
12                                        ","
                                            12:45.71
                                        ","
        ","
                                            04 JUN 2001
                                        ","
                                            ","
                                            1
                                        ","
                                            Boudewijnstadion, Bruxelles (BEL)
                                        ","
                                            02 SEP 2022
                                        ","
                                                1263
                                            "
"
13                                        ","
                                            12:46.33
                                        ","
        ","
                                            29 SEP 1998
                                        ","
                                            ","
                                            1
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            09 JUN 2022
                                        ","
                                                1260
                                            "
"
14                                        ","
                                            12:46.53
                                        ","
        ","
                                            05 NOV 1984
                                        ","
                                            ","
                                            1
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            02 JUL 2004
                                        ","
                                                1259
                                            "
"
15                                        ","
                                            12:46.81
                                        ","
        ","
                                            24 NOV 1989
                                        ","
                                            ","
                                            1
                                        ","
                                            Stade de France, Paris-St-Denis (FRA)
                                        ","
                                            06 JUL 2012
                                        ","
                                                1258
                                            "
"
16                                        ","
                                            12:46.96
                                        ","
        ","
                                            22 APR 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            Boudewijnstadion, Bruxelles (BEL)
                                        ","
                                            02 SEP 2022
                                        ","
                                                1258
                                            "
"
17                                        ","
                                            12:47.04
                                        ","
        ","
                                            29 JAN 1983
                                        ","
                                            ","
                                            2
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            02 JUL 2004
                                        ","
                                                1258
                                            "
"
18                                        ","
                                            12:47.20
                                        ","
        ","
                                            05 JAN 1991
                                        ","
                                            ","
                                            1
                                        ","
                                            Jesuit High School Track, Portland, OR (USA)
                                        ","
                                            10 JUL 2020
                                        ","
                                                1257
                                            "
"
19                                        ","
                                            12:48.10
                                        ","
        ","
                                            26 MAR 1997
                                        ","
                                            ","
                                            4
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            30 MAY 2024
                                        ","
                                                1254
                                            "
"
20                                        ","
                                            12:48.45
                                        ","
        ","
                                            19 SEP 2000
                                        ","
                                            ","
                                            1
                                        ","
                                            Stadio Luigi Ridolfi, Firenze (ITA)
                                        ","
                                            10 JUN 2021
                                        ","
                                                1252
                                            "
"
21                                        ","
                                            12:48.64
                                        ","
        ","
                                            19 DEC 1993
                                        ","
                                            ","
                                            3
                                        ","
                                            Stade de France, Paris-St-Denis (FRA)
                                        ","
                                            06 JUL 2012
                                        ","
                                                1252
                                            "
"
22                                        ","
                                            12:48.66
                                        ","
        ","
                                            25 APR 1984
                                        ","
                                            ","
                                            2
                                        ","
                                            Zürich (SUI)
                                        ","
                                            18 AUG 2006
                                        ","
                                                1252
                                            "
"
23                                        ","
                                            12:48.77
                                        ","
        ","
                                            27 MAY 1990
                                        ","
                                            ","
                                            4
                                        ","
                                            Stade de France, Paris-St-Denis (FRA)
                                        ","
                                            06 JUL 2012
                                        ","
                                                1251
                                            "
"
24                                        ","
                                            12:48.81
                                        ","
        ","
                                            15 OCT 1982
                                        ","
                                            ","
                                            1
                                        ","
                                            Ostrava (CZE)
                                        ","
                                            12 JUN 2003
                                        ","
                                                1251
                                            "
"
25                                        ","
                                            12:49.04
                                        ","
        ","
                                            14 JAN 1982
                                        ","
                                            ","
                                            5
                                        ","
                                            Stade de France, Paris-St-Denis (FRA)
                                        ","
                                            06 JUL 2012
                                        ","
                                                1250
                                            "
