rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
301                                        ","
                                            27:10.34
                                        ","
        ","
                                            12 DEC 1973
                                        ","
                                            ","
                                            4
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            25 AUG 1995
                                        ","
                                                1210
                                            "
"
302                                        ","
                                            27:10.38
                                        ","
        ","
                                            25 JUN 1969
                                        ","
                                            ","
                                            3
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            03 SEP 1999
                                        ","
                                                1210
                                            "
"
303                                        ","
                                            27:10.41
                                        ","
        ","
                                            21 DEC 1993
                                        ","
                                            ","
                                            1
                                        ","
                                            JSerra Catholic HS, San Juan Capistrano, CA (USA)
                                        ","
                                            20 FEB 2021
                                        ","
                                                1209
                                            "
"
304                                        ","
                                            27:10.51
                                        ","
        ","
                                            25 DEC 1985
                                        ","
                                            ","
                                            1
                                        ","
                                            Kobe (JPN)
                                        ","
                                            23 APR 2006
                                        ","
                                                1209
                                            "
"
305                                        ","
                                            27:10.72
                                        ","
        ","
                                            07 MAR 1992
                                        ","
                                            ","
                                            1f7
                                        ","
                                            Kamiyugi Park Athletic Stadium, Hachioji (JPN)
                                        ","
                                            25 NOV 2023
                                        ","
                                                1209
                                            "
"
306                                        ","
                                            27:10.74
                                        ","
        ","
                                            08 MAY 1986
                                        ","
                                            ","
                                            4f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            01 MAY 2010
                                        ","
                                                1209
                                            "
"
307                                        ","
                                            27:10.76
                                        ","
        ","
                                            15 OCT 1996
                                        ","
                                            ","
                                            8
                                        ","
                                            Khalifa International Stadium, Doha (QAT)
                                        ","
                                            06 OCT 2019
                                        ","
                                                1209
                                            "
"
308                                        ","
                                            27:10.98
                                        ","
        ","
                                            12 OCT 1985
                                        ","
                                            ","
                                            4
                                        ","
                                            Olympiastadion, Helsinki (FIN)
                                        ","
                                            08 AUG 2005
                                        ","
                                                1209
                                            "
"
309                                        ","
                                            27:11.01
                                        ","
        ","
                                            12 OCT 1999
                                        ","
                                            ","
                                            1
                                        ","
                                            Estádio José Vieira de Carvalho, Maia (POR)
                                        ","
                                            08 MAY 2021
                                        ","
                                                1209
                                            "
"
310                                        ","
                                            27:11.03
                                        ","
        ","
                                            22 FEB 2003
                                        ","
                                            ","
                                            1f1
                                        ","
                                            Athletic Track, Abashiri (JPN)
                                        ","
                                            13 JUL 2022
                                        ","
                                                1209
                                            "
"
311                                        ","
                                            27:11.08
                                        ","
        ","
                                            11 OCT 1992
                                        ","
                                            ","
                                            12
                                        ","
                                            Olympic Stadium, London (GBR)
                                        ","
                                            04 AUG 2017
                                        ","
                                                1208
                                            "
"
312                                        ","
                                            27:11.09
                                        ","
        ","
                                            07 NOV 1976
                                        ","
                                            ","
                                            3f1
                                        ","
                                            Neerpelt (BEL)
                                        ","
                                            31 MAY 2008
                                        ","
                                                1208
                                            "
"
313                                        ","
                                            27:11.17
                                        ","
        ","
                                            29 APR 1978
                                        ","
                                            ","
                                            1
                                        ","
                                            Kobe (JPN)
                                        ","
                                            26 APR 1998
                                        ","
                                                1208
                                            "
"
314                                        ","
                                            27:11.18
                                        ","
        ","
                                            21 APR 1972
                                        ","
                                            ","
                                            1
                                        ","
                                            Hengelo (NED)
                                        ","
                                            25 JUN 1991
                                        ","
                                                1208
                                            "
"
315                                        ","
                                            27:11.23
                                        ","
        ","
                                            18 SEP 1991
                                        ","
                                            ","
                                            2
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            12 NOV 2016
                                        ","
                                                1208
                                            "
"
316                                        ","
                                            27:11.26
                                        ","
        ","
                                            18 SEP 1995
                                        ","
                                            ","
                                            2
                                        ","
                                            Alexander Stadium, Birmingham (GBR)
                                        ","
                                            02 AUG 2022
                                        ","
                                                1208
                                            "
"
316                                        ","
                                            27:11.26
                                        ","
        ","
                                            20 JAN 2002
                                        ","
                                            ","
                                            4
                                        ","
                                            Estadio Enrique Lopez Cuenca, Nerja (ESP)
                                        ","
                                            23 JUN 2023
                                        ","
                                                1208
                                            "
"
318                                        ","
                                            27:11.29
                                        ","
        ","
                                            22 APR 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            JSerra Catholic HS, San Juan Capistrano, CA (USA)
                                        ","
                                            20 FEB 2021
                                        ","
                                                1208
                                            "
"
319                                        ","
                                            27:11.36
                                        ","
        ","
                                            10 OCT 1986
                                        ","
                                            ","
                                            2
                                        ","
                                            Kobe (JPN)
                                        ","
                                            22 APR 2007
                                        ","
                                                1208
                                            "
"
320                                        ","
                                            27:11.37
                                        ","
        ","
                                            11 MAY 1994
                                        ","
                                            ","
                                            9
                                        ","
                                            Khalifa International Stadium, Doha (QAT)
                                        ","
                                            06 OCT 2019
                                        ","
                                                1208
                                            "
"
321                                        ","
                                            27:11.52
                                        ","
        ","
                                            20 SEP 2001
                                        ","
                                            ","
                                            4f7
                                        ","
                                            Gion Stadium, Machida (JPN)
                                        ","
                                            26 NOV 2022
                                        ","
                                                1208
                                            "
"
322                                        ","
                                            27:11.57
                                        ","
        ","
                                            12 OCT 1984
                                        ","
                                            ","
                                            1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            29 MAY 2005
                                        ","
                                                1208
                                            "
"
323                                        ","
                                            27:11.62
                                        ","
        ","
                                            10 MAY 1962
                                        ","
                                            ","
                                            1
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            13 SEP 1991
                                        ","
                                                1208
                                            "
"
324                                        ","
                                            27:11.70
                                        ","
        ","
                                            28 FEB 1987
                                        ","
                                            ","
                                            1
                                        ","
                                            FBK Stadium, Hengelo (NED)
                                        ","
                                            27 MAY 2012
                                        ","
                                                1207
                                            "
"
325                                        ","
                                            27:11.83
                                        ","
        ","
                                            07 JAN 1995
                                        ","
                                            ","
                                            4
                                        ","
                                            Hengelo (NED)
                                        ","
                                            29 JUN 2016
                                        ","
                                                1207
                                            "
"
326                                        ","
                                            27:11.88
                                        ","
        ","
                                            27 NOV 1985
                                        ","
                                            ","
                                            1f2
                                        ","
                                            Fukuroi (JPN)
                                        ","
                                            17 OCT 2009
                                        ","
                                                1207
                                            "
"
326                                        ","
                                            27:11.88
                                        ","
        ","
                                            27 NOV 1999
                                        ","
                                            ","
                                            5f7
                                        ","
                                            Gion Stadium, Machida (JPN)
                                        ","
                                            26 NOV 2022
                                        ","
                                                1207
                                            "
"
328                                        ","
                                            27:11.89
                                        ","
        ","
                                            22 NOV 1992
                                        ","
                                            ","
                                            1
                                        ","
                                            Nairobi (KEN)
                                        ","
                                            01 AUG 2015
                                        ","
                                                1207
                                            "
"
329                                        ","
                                            27:11.93
                                        ","
        ","
                                            03 OCT 1986
                                        ","
                                            ","
                                            9
                                        ","
                                            FBK Stadium, Hengelo (NED)
                                        ","
                                            26 MAY 2007
                                        ","
                                                1207
                                            "
"
329                                        ","
                                            27:11.93
                                        ","
        ","
                                            05 NOV 1984
                                        ","
                                            ","
                                            7
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            01 JUN 2012
                                        ","
                                                1207
                                            "
"
331                                        ","
                                            27:11.98
                                        ","
        ","
                                            14 JAN 1990
                                        ","
                                            ","
                                            2
                                        ","
                                            FBK Stadium, Hengelo (NED)
                                        ","
                                            27 MAY 2012
                                        ","
                                                1207
                                            "
"
332                                        ","
                                            27:12.08
                                        ","
        ","
                                            13 JUN 1982
                                        ","
                                            ","
                                            1
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            31 MAY 2013
                                        ","
                                                1207
                                            "
"
333                                        ","
                                            27:12.09
                                        ","
        ","
                                            23 MAR 1983
                                        ","
                                            ","
                                            1
                                        ","
                                            Mestský Stadion, Ostrava (CZE)
                                        ","
                                            28 JUN 2017
                                        ","
                                                1207
                                            "
"
334                                        ","
                                            27:12.17
                                        ","
        ","
                                            25 DEC 1985
                                        ","
                                            ","
                                            3
                                        ","
                                            Yanmar Stadium Nagai, Osaka (JPN)
                                        ","
                                            27 AUG 2007
                                        ","
                                                1207
                                            "
"
335                                        ","
                                            27:12.22
                                        ","
        ","
                                            12 DEC 1980
                                        ","
                                            ","
                                            2
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            29 MAY 2005
                                        ","
                                                1207
                                            "
"
336                                        ","
                                            27:12.24
                                        ","
        ","
                                            16 APR 1990
                                        ","
                                            ","
                                            12
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            03 JUN 2011
                                        ","
                                                1207
                                            "
"
337                                        ","
                                            27:12.27
                                        ","
        ","
                                            10 NOV 2001
                                        ","
                                            ","
                                            
                                        ","
                                            National Stadium, Tokyo (JPN)
                                        ","
                                            10 DEC 2023
                                        ","
                                                1207
                                            "
"
338                                        ","
                                            27:12.37
                                        ","
        ","
                                            27 NOV 1975
                                        ","
                                            ","
                                            3
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            04 MAY 2001
                                        ","
                                                1206
                                            "
"
338                                        ","
                                            27:12.37
                                        ","
        ","
                                            15 OCT 1988
                                        ","
                                            ","
                                            2
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            31 MAY 2013
                                        ","
                                                1206
                                            "
"
340                                        ","
                                            27:12.39
                                        ","
        ","
                                            16 MAR 1972
                                        ","
                                            ","
                                            2
                                        ","
                                            Stockholm (SWE)
                                        ","
                                            30 JUL 1999
                                        ","
                                                1206
                                            "
"
341                                        ","
                                            27:12.42
                                        ","
        ","
                                            01 JUN 1989
                                        ","
                                            ","
                                            1
                                        ","
                                            Tokamachi (JPN)
                                        ","
                                            29 SEP 2007
                                        ","
                                                1206
                                            "
"
342                                        ","
                                            27:12.43
                                        ","
        ","
                                            12 JUN 1989
                                        ","
                                            ","
                                            1f9
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            25 SEP 2010
                                        ","
                                                1206
                                            "
"
343                                        ","
                                            27:12.47
                                        ","
        ","
                                            22 MAR 1966
                                        ","
                                            ","
                                            3
                                        ","
                                            Stockholm (SWE)
                                        ","
                                            30 JUL 1999
                                        ","
                                                1206
                                            "
"
344                                        ","
                                            27:12.51
                                        ","
        ","
                                            25 DEC 1985
                                        ","
                                            ","
                                            5
                                        ","
                                            Olympiastadion, Helsinki (FIN)
                                        ","
                                            08 AUG 2005
                                        ","
                                                1206
                                            "
"
345                                        ","
                                            27:12.53
                                        ","
        ","
                                            17 OCT 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            National Stadium, Tokyo (JPN)
                                        ","
                                            10 DEC 2023
                                        ","
                                                1206
                                            "
"
346                                        ","
                                            27:12.60
                                        ","
        ","
                                            29 JAN 1983
                                        ","
                                            ","
                                            3
                                        ","
                                            FBK Stadium, Hengelo (NED)
                                        ","
                                            27 MAY 2012
                                        ","
                                                1206
                                            "
"
347                                        ","
                                            27:12.72
                                        ","
        ","
                                            25 NOV 1999
                                        ","
                                            ","
                                            1f1
                                        ","
                                            Athletics Stadium, Fukagawa (JPN)
                                        ","
                                            06 JUL 2022
                                        ","
                                                1206
                                            "
"
348                                        ","
                                            27:12.73
                                        ","
        ","
                                            27 OCT 1990
                                        ","
                                            ","
                                            1
                                        ","
                                            Parliament Hill Fields Athletics Track, London (GBR)
                                        ","
                                            20 MAY 2023
                                        ","
                                                1206
                                            "
