rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
1                                        ","
                                            3:43.13
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            07 JUL 1999
                                        ","
                                                1292
                                            "
"
2                                        ","
                                            3:43.40
                                        ","
        ","
                                            02 NOV 1978
                                        ","
                                            ","
                                            2
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            07 JUL 1999
                                        ","
                                                1288
                                            "
"
3                                        ","
                                            3:43.73
                                        ","
        ","
                                            19 SEP 2000
                                        ","
                                            ","
                                            1
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            16 SEP 2023
                                        ","
                                                1284
                                            "
"
4                                        ","
                                            3:43.97
                                        ","
        ","
                                            01 JUN 1999
                                        ","
                                            ","
                                            2
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            16 SEP 2023
                                        ","
                                                1280
                                            "
"
5                                        ","
                                            3:44.39
                                        ","
        ","
                                            28 FEB 1970
                                        ","
                                            ","
                                            1
                                        ","
                                            Rieti (ITA)
                                        ","
                                            05 SEP 1993
                                        ","
                                                1275
                                            "
"
6                                        ","
                                            3:44.60
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Nice (FRA)
                                        ","
                                            16 JUL 1998
                                        ","
                                                1272
                                            "
"
7                                        ","
                                            3:44.90
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Oslo (NOR)
                                        ","
                                            04 JUL 1997
                                        ","
                                                1268
                                            "
"
8                                        ","
                                            3:44.95
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            29 JUN 2001
                                        ","
                                                1267
                                            "
"
9                                        ","
                                            3:45.19
                                        ","
        ","
                                            28 FEB 1970
                                        ","
                                            ","
                                            1
                                        ","
                                            Zürich (SUI)
                                        ","
                                            16 AUG 1995
                                        ","
                                                1264
                                            "
"
10                                        ","
                                            3:45.34
                                        ","
        ","
                                            08 OCT 1997
                                        ","
                                            ","
                                            1
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1262
                                            "
"
11                                        ","
                                            3:45.60
                                        ","
        ","
                                            19 SEP 2000
                                        ","
                                            ","
                                            2
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1259
                                            "
"
12                                        ","
                                            3:45.64
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Olympiastadion, Berlin (GER)
                                        ","
                                            26 AUG 1997
                                        ","
                                                1258
                                            "
"
13                                        ","
                                            3:45.96
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Crystal Palace, London (GBR)
                                        ","
                                            05 AUG 2000
                                        ","
                                                1254
                                            "
"
14                                        ","
                                            3:46.22
                                        ","
        ","
                                            01 JUN 1999
                                        ","
                                            ","
                                            3
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1250
                                            "
"
15                                        ","
                                            3:46.24
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            28 JUL 2000
                                        ","
                                                1250
                                            "
"
16                                        ","
                                            3:46.32
                                        ","
        ","
                                            14 OCT 1960
                                        ","
                                            ","
                                            1
                                        ","
                                            Oslo (NOR)
                                        ","
                                            27 JUL 1985
                                        ","
                                                1249
                                            "
"
17                                        ","
                                            3:46.38
                                        ","
        ","
                                            17 MAY 1976
                                        ","
                                            ","
                                            2
                                        ","
                                            Olympiastadion, Berlin (GER)
                                        ","
                                            26 AUG 1997
                                        ","
                                                1248
                                            "
"
18                                        ","
                                            3:46.46
                                        ","
        ","
                                            19 SEP 2000
                                        ","
                                            ","
                                            1
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            16 JUN 2022
                                        ","
                                                1247
                                            "
"
19                                        ","
                                            3:46.70
                                        ","
        ","
                                            09 DEC 1973
                                        ","
                                            ","
                                            3
                                        ","
                                            Olympiastadion, Berlin (GER)
                                        ","
                                            26 AUG 1997
                                        ","
                                                1244
                                            "
"
20                                        ","
                                            3:46.76
                                        ","
        ","
                                            02 NOV 1959
                                        ","
                                            ","
                                            1
                                        ","
                                            Helsinki (FIN)
                                        ","
                                            02 JUL 1987
                                        ","
                                                1243
                                            "
"
21                                        ","
                                            3:46.78
                                        ","
        ","
                                            28 FEB 1970
                                        ","
                                            ","
                                            1
                                        ","
                                            Olympiastadion, Berlin (GER)
                                        ","
                                            27 AUG 1993
                                        ","
                                                1243
                                            "
"
22                                        ","
                                            3:46.91
                                        ","
        ","
                                            13 JAN 1983
                                        ","
                                            ","
                                            1
                                        ","
                                            Brasschaat (BEL)
                                        ","
                                            21 JUL 2007
                                        ","
                                                1241
                                            "
"
23                                        ","
                                            3:46.92
                                        ","
        ","
                                            02 NOV 1959
                                        ","
                                            ","
                                            1
                                        ","
                                            Letzigrund, Zürich (SUI)
                                        ","
                                            21 AUG 1985
                                        ","
                                                1241
                                            "
"
24                                        ","
                                            3:47.01
                                        ","
        ","
                                            01 AUG 1997
                                        ","
                                            ","
                                            1
                                        ","
                                            Boston, MA (USA) (i)
                                        ","
                                            03 MAR 2019
                                        ","
                                                1304
                                            "
"
25                                        ","
                                            3:47.10
                                        ","
        ","
                                            14 SEP 1974
                                        ","
                                            ","
                                            1
                                        ","
                                            Crystal Palace, London (GBR)
                                        ","
                                            07 AUG 1999
                                        ","
                                                1239
                                            "
"
26                                        ","
                                            3:47.24
                                        ","
        ","
                                            19 SEP 2000
                                        ","
                                            ","
                                            1
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            21 AUG 2021
                                        ","
                                                1237
                                            "
"
27                                        ","
                                            3:47.28
                                        ","
        ","
                                            12 DEC 1974
                                        ","
                                            ","
                                            2
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            29 JUN 2001
                                        ","
                                                1236
                                            "
"
28                                        ","
                                            3:47.30
                                        ","
        ","
                                            28 FEB 1970
                                        ","
                                            ","
                                            1
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            03 SEP 1993
                                        ","
                                                1236
                                            "
"
29                                        ","
                                            3:47.32
                                        ","
        ","
                                            03 DEC 1992
                                        ","
                                            ","
                                            1f1
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            31 MAY 2014
                                        ","
                                                1236
                                            "
"
30                                        ","
                                            3:47.33
                                        ","
        ","
                                            29 SEP 1956
                                        ","
                                            ","
                                            1
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            28 AUG 1981
                                        ","
                                                1236
                                            "
"
31                                        ","
                                            3:47.38
                                        ","
        ","
                                            01 JUN 1999
                                        ","
                                            ","
                                            1
                                        ","
                                            Armory Track&Field Center, New York, NY (USA) (i)
                                        ","
                                            11 FEB 2023
                                        ","
                                                1298
                                            "
"
32                                        ","
                                            3:47.48
                                        ","
        ","
                                            29 JAN 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            16 JUN 2022
                                        ","
                                                1234
                                            "
"
33                                        ","
                                            3:47.65
                                        ","
        ","
                                            20 JAN 1969
                                        ","
                                            ","
                                            2
                                        ","
                                            Oslo (NOR)
                                        ","
                                            04 JUL 1997
                                        ","
                                                1232
                                            "
"
33                                        ","
                                            3:47.65
                                        ","
        ","
                                            12 MAY 1999
                                        ","
                                            ","
                                            3
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            16 SEP 2023
                                        ","
                                                1232
                                            "
"
35                                        ","
                                            3:47.67
                                        ","
        ","
                                            02 NOV 1978
                                        ","
                                            ","
                                            2
                                        ","
                                            Crystal Palace, London (GBR)
                                        ","
                                            05 AUG 2000
                                        ","
                                                1231
                                            "
"
36                                        ","
                                            3:47.69
                                        ","
        ","
                                            05 MAY 1956
                                        ","
                                            ","
                                            1
                                        ","
                                            Oslo (NOR)
                                        ","
                                            07 JUL 1982
                                        ","
                                                1231
                                            "
"
36                                        ","
                                            3:47.69
                                        ","
        ","
                                            29 JUN 1999
                                        ","
                                            ","
                                            4
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            16 SEP 2023
                                        ","
                                                1231
                                            "
"
38                                        ","
                                            3:47.74
                                        ","
        ","
                                            07 FEB 1995
                                        ","
                                            ","
                                            4
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1230
                                            "
"
39                                        ","
                                            3:47.78
                                        ","
        ","
                                            28 FEB 1970
                                        ","
                                            ","
                                            1
                                        ","
                                            Oslo (NOR)
                                        ","
                                            10 JUL 1993
                                        ","
                                                1230
                                            "
"
40                                        ","
                                            3:47.79
                                        ","
        ","
                                            08 DEC 1957
                                        ","
                                            ","
                                            2
                                        ","
                                            Oslo (NOR)
                                        ","
                                            27 JUL 1985
                                        ","
                                                1230
                                            "
"
41                                        ","
                                            3:47.83
                                        ","
        ","
                                            01 JUN 1999
                                        ","
                                            ","
                                            1
                                        ","
                                            Armory Track&Field Center, New York, NY (USA) (i)
                                        ","
                                            11 FEB 2024
                                        ","
                                                1292
                                            "
"
41                                        ","
                                            3:47.83
                                        ","
        ","
                                            11 JUL 1994
                                        ","
                                            ","
                                            5
                                        ","
                                            Hayward Field, Eugene, OR (USA)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1229
                                            "
