date;time;athlete;country;location
1911-11-16;1858.8;Jean Bouin;FRA;Paris, France
1921-06-22;1840.2;Paavo Nurmi;FIN;Stockholm, Sweden
1924-05-25;1835.4;Ville Ritola;FIN;Helsinki, Finland
1924-07-06;1823.2;Ville Ritola;FIN;Paris, France
1924-08-31;1806.2;Paavo Nurmi;FIN;Kuopio, Finland
1937-07-18;1805.6;Ilmari Salminen;FIN;Kouvola, Finland
1938-09-29;1802.0;Taisto Mäki;FIN;Tampere, Finland
1939-09-17;1792.6;Taisto Mäki;FIN;Helsinki, Finland
1944-08-25;1775.4;Viljo Heino;FIN;Helsinki, Finland
1949-06-11;1768.2;Emil Zátopek;TCH;Ostrava, Czech Republic
1949-09-01;1767.2;Viljo Heino;FIN;Kouvola, Finland
1949-10-22;1761.2;Emil Zátopek;TCH;Ostrava, Czech Republic
1950-08-04;1742.6;Emil Zátopek;TCH;Turku, Finland
1953-11-01;1741.6;Emil Zátopek;TCH;Stara Boleslav, Czech Republic
1954-06-01;1734.2;Emil Zátopek;TCH;Brussels, Belgium
1956-07-15;1722.8;Sandor Iharos;HUN;Budapest, Hungary
1956-09-11;1710.4;Vladimir Kuts;URS;Moscow, Soviet Union
1960-10-15;1698.8;Pyotr Bolotnikov;URS;Kiev, Soviet Union
1962-08-11;1698.2;Pyotr Bolotnikov;URS;Moscow, Soviet Union
1963-12-18;1695.6;Ron Clarke;AUS;Melbourne, Australia
1965-07-14;1659.89;Ron Clarke;AUS;Oslo, Norway
1972-09-03;1658.35;Lasse Virén;FIN;Munich, Germany
1973-07-13;1650.8;David Bedford;GBR;London, United Kingdom
1977-06-30;1650.47;Samson Kimobwa;KEN;Helsinki, Finland
1978-06-11;1642.47;Henry Rono;KEN;Vienna, Austria
1984-07-02;1633.81;Fernando Mamede;POR;Stockholm, Sweden
1989-08-18;1628.23;Arturo Barrios;MEX;Berlin, Germany
1993-07-05;1627.91;Richard Chelimo;KEN;Stockholm, Sweden
1993-07-10;1618.38;Yobes Ondieki;KEN;Oslo, Norway
1994-07-22;1612.23;William Sigei;KEN;Oslo, Norway
1995-06-05;1603.53;Haile Gebrselassie;ETH;Hengelo, Netherlands
1996-08-23;1598.08;Salah Hissou;MAR;Brussels, Belgium
1997-07-04;1591.32;Haile Gebrselassie;ETH;Oslo, Norway
1997-08-22;1587.85;Paul Tergat;KEN;Brussels, Belgium
1998-06-01;1582.75;Haile Gebrselassie;ETH;Hengelo, Netherlands
2004-06-08;1580.31;Kenenisa Bekele;ETH;Ostrava, Czech Republic
2005-08-26;1577.53;Kenenisa Bekele;ETH;Brussels, Belgium
2020-10-07;1571.0;Joshua Cheptegei;UGA;Valencia, Spain
