date;time;athlete;country;location
1912-07-10;876.6;Hannes Kolehmainen;FIN;Stockholm, Sweden
1922-09-12;875.4;Paavo Nurmi;FIN;Stockholm, Sweden
1924-06-19;868.2;Paavo Nurmi;FIN;Helsinki, Finland
1932-06-19;857.0;Lauri Lehtinen;FIN;Helsinki, Finland
1939-06-16;848.8;Taisto Mäki;FIN;Helsinki, Finland
1942-09-20;838.2;Gunder Hägg;SWE;Gothenburg, Sweden
1954-05-30;837.2;Emil Zátopek;TCH;Paris, France
1954-08-29;836.6;Vladimir Kuts;URS;Bern, Switzerland
1954-10-13;831.6;Chris Chataway;GBR;London, United Kingdom
1954-10-23;831.2;Vladimir Kuts;URS;Prague, Czechoslovakia
1955-09-10;830.8;Sandor Iharos;HUN;Budapest, Hungary
1955-09-18;826.8;Vladimir Kuts;URS;Belgrad, Yugoslavia
1955-10-23;820.6;Sandor Iharos;HUN;Budapest, Hungary
1956-06-19;816.8;Gordon Pirie;GBR;Bergen, Norway
1957-10-13;815.0;Vladimir Kuts;URS;Rome, Italy
1965-01-16;814.8;Ron Clarke;AUS;Hobart, Australia
1965-02-01;813.6;Ron Clarke;AUS;Auckland, New Zealand
1965-06-04;805.8;Ron Clarke;AUS;Compton, USA
1965-11-30;804.2;Kipchoge Keino;KEN;Auckland, New Zealand
1966-07-05;796.6;Ron Clarke;AUS;Stockholm, Sweden
1972-09-14;796.4;Lasse Virén;FIN;Helsinki, Finland
1972-09-20;793.0;Emiel Puttemans;BEL;Brussels, Belgium
1977-07-05;792.9;Dick Quax;NZL;Stockholm, Sweden
1978-04-08;788.4;Henry Rono;KEN;Berkeley, California, USA
1981-09-13;786.2;Henry Rono;KEN;Knarvik, Norway
1982-07-07;780.41;David Moorcroft;GBR;Oslo, Norway
1985-07-22;780.4;Saïd Aouita;MAR;Oslo, Norway
1987-07-27;778.39;Saïd Aouita;MAR;Rome, Italy
1994-06-04;776.96;Haile Gebrselassie;ETH;Hengelo, Netherlands
1995-06-08;775.3;Moses Kiptanui;KEN;Rome, Italy
1995-08-16;764.39;Haile Gebrselassie;ETH;Zürich, Switzerland
1997-08-13;761.86;Haile Gebrselassie;ETH;Zürich, Switzerland
1997-08-22;759.74;Daniel Komen;KEN;Brussels, Belgium
1998-06-13;759.36;Haile Gebrselassie;ETH;Helsinki, Finland
2004-05-31;757.35;Kenenisa Bekele;ETH;Hengelo, Netherlands
2020-08-14;755.36;Joshua Cheptegei;UGA;Monaco
